groupe;forme;frequence;part_du_groupe;sans_diacritique;decision;commentaire
paket;paket;1;12 %;oui;;
led;lèd;6;75 %;;;
led;léd;2;25 %;;;
chofe;chofè;5;62 %;;;
chofe;chofé;3;38 %;;;
sale;salé;6;86 %;;;
sale;salè;1;14 %;;;
neye;néyé;6;86 %;;;
neye;nèyé;1;14 %;;;
konsey;konsèy;6;86 %;;;
konsey;konsey;1;14 %;oui;;
mori;mori;6;86 %;oui;;
mori;mòri;1;14 %;;;
fo-mwen;fò-mwen;6;86 %;;;
fo-mwen;fo-mwen;1;14 %;oui;;
jere;jérè;6;86 %;;;
jere;jéré;1;14 %;;;
so;so;5;71 %;oui;;
so;sò;2;29 %;;;
poch;pòch;5;71 %;;;
poch;poch;2;29 %;oui;;
swe;swé;5;71 %;;;
swe;swè;2;29 %;;;
telman;tèlman;5;71 %;;;
telman;telman;2;29 %;oui;;
obo;òbò;5;71 %;;;
obo;obò;2;29 %;;;
boure;bouré;5;83 %;;;
boure;bourè;1;17 %;;;
souple;souplé;5;83 %;;;
souple;souplè;1;17 %;;;
solda;solda;5;83 %;oui;;
solda;sòlda;1;17 %;;;
plante;planté;5;83 %;;;
plante;plantè;1;17 %;;;
sonmey;sonmèy;5;83 %;;;
sonmey;sonméy;1;17 %;;;
fes;fès;5;83 %;;;
fes;fes;1;17 %;oui;;
pyes;pyès;5;83 %;;;
pyes;pyés;1;17 %;;;
navige;navige;4;67 %;oui;;
navige;navigé;2;33 %;;;
dokte;doktè;4;67 %;;;
dokte;dòktè;2;33 %;;;
kok;kok;4;67 %;oui;;
kok;kòk;2;33 %;;;
esplike;espliké;3;50 %;;;
esplike;èspliké;3;50 %;;;
afos;afos;3;50 %;oui;;
afos;afòs;3;50 %;;;
zanset;zansèt;4;80 %;;;
zanset;zanset;1;20 %;oui;;
pelikan;pelikan;4;80 %;oui;;
pelikan;pélikan;1;20 %;;;
et;èt;4;80 %;;;
et;et;1;20 %;oui;;
chansle;chanslé;4;80 %;;;
chansle;chanslè;1;20 %;;;
hote;hotè;4;80 %;;;
hote;hoté;1;20 %;;;
nouvel;nouvèl;4;80 %;;;
nouvel;nouvel;1;20 %;oui;;
kyololo;kyòlòlò;4;80 %;;;
kyololo;kyolòlò;1;20 %;;;
kod;kòd;4;80 %;;;
kod;kod;1;20 %;oui;;
volkan;volkan;4;80 %;oui;;
volkan;vòlkan;1;20 %;;;
rezewve;rézèwvé;4;80 %;;;
rezewve;rézewvé;1;20 %;;;
kaye;kayé;4;80 %;;;
